FLUORURO SODICO;SODIUM FLUORIDE
PAMIDRONICO ACIDO; PAMIDRONIC ACID
ALENDRONICO ACIDO; ALENDRONIC ACID
TILUDRONICO ACIDO; Tiludronic Acid
IBANDRONICO ACIDO; IBANDRONIC ACID
RISEDRONICO ACIDO; RISEDRONIC ACID
ZOLEDRONICO ACIDO; ZOLEDRONIC ACID
BISFOSFONATOS (MEDICAM.CON EFECTO SOBRE MINERALIZACION OSEA) NE; BISPHOSPHONATES (MEDICAMS WITH EFFECT ON BONE MINERALIZATION) NE
ETIDRONICO ACIDO ASOC. A CALCIO, PREPARADOS SECUENCIALES; ETIDRONIC ACID ASSOCIATED WITH CALCIUM, SEQUENTIAL PREPARATIONS
RISEDRONICO ACIDO ASOC. A CALCIO, PREPARADOS SECUENCIALES; RISEDRONIC ACID ASSOCIATED WITH CALCIUM, SEQUENTIAL PREPARATIONS
ALENDRONICO ACIDO ASOC. A COLECALCIFEROL, NO SECUENCIAL; Alendronic acid associated with cholecalciferol, non-sequential
RISEDRONICO ACIDO+CALCIO COLECALCIFEROL, SECUENCIAL;RISEDRONIC ACID+CALCIUM CHOLECALCIFEROL, SEQUENTIAL
ALENDRONICO ACIDO ASOC. COLECALCIFEROL, SECUENCIAL; ALENDRONIC ACID ASSOCIATE CHOLECALCIFEROL, SEQUENTIAL
ACIDO ALENDRONICO Y ALFACALCIDOL SECUENCIAL; ALENDRONIC ACID AND ALFACALCIDOL SEQUENTIALLY
BIFOSFONATOS EN ASOCACION NE; BIPHOSPHONATES IN ASSOCIATION NE
DIBOTERMIN ALFA (BMP-2); DIBOTERMIN ALFA (BMP-2)
EPTOTERMINA ALFA (PROTEINA OSTEOGENICA HUMANA); EPTOTERMIN ALPHA (HUMAN OSTEOGENIC PROTEIN)
RANELATO DE ESTRONCIO; Strontium Ranelate
DENOSUMAB; DENOSUMAB
BUROSUMAB; BUROSUMAB
HARPAGOPHYTUM PROCUMBENS EXTO; HARPAGOPHYTUM PROCUMBENS EXTO
QUIMOPAPAINA; CHYMOPAPAIN
COLAGENASA DE CLOSTRIDIO HISTOLITICO; Clostridial collagenase histolytic
TRIPSINA EN ASOCIACION; TRYPSIN IN ASSOCIATION
PROTEASA; PROTEASE
TIOMUCASA; Thiomucase
ENZIMAS EN ASOCIACION; ENZYMES IN ASSOCIATION
HIALURONICO ACIDO; HYALURONIC ACID
CONDROCITOS AUTOLOGOS; AUTOLOGOUS CHONDROCYTES
ATALURENO; ATALUREN
NUSINERSEN; NUSINERSEN
NUCLEOTIDOS EN ASOCIACION;NUCLEOTIDES IN ASSOCIATION
OTROS MEDICAMENTOS PARA SISTEMA MUSCULO-ESQUELETICO NE; OTHER MEDICINES FOR THE MUSCULOSKELETAL SYSTEM NE
HALOTANO; Halothane
ENFLURANO; ENFLURANE
ISOFLURANO; ISOFLURANE
DESFLURANO; DESFLURANE
SEVOFLURANO; SEVOFLURANE
HIDROCARBUROS HALOGENADOS (ANESTESICOS GENERALES) NE; HALOGENATED HYDROCARBONS (GENERAL ANESTHETICS) NE
TIOPENTAL SODICO; SODIUM THIOPENTAL
FENTANILO; FENTANYL
ALFENTANILO; ALFENTANIL
SUFENTANIL; SUFENTANIL
REMIFENTANILO; REMIFENTANIL
FENTANILO EN ASOCIACION; FENTANYL IN ASSOCIATION
DROPERIDOL; DROPERIDOL
KETAMINA; KETAMINE
ETOMIDATO; ETOMIDATE
PROPOFOL; PROPOFOL
OXIBUTATO SODICO (AC.HIDROXIBUTIRICO); SODIUM OXYBUTATE (HYDROXYBUTYRIC AC)
OXIDO NITROSO; NITROUS OXIDE
XENON; XENON
OXIDO NITROSO EN ASOCIACION; NITROUS OXIDE IN ASSOCIATION
OTROS ANESTESICOS GENERALES NE; OTHER GENERAL ANESTHETICS NE
PROCAINA; PROCAINE
TETRACAINA; TETRACAINE
CLORPROCAINA; Chlorprocaine
BENZOCAINA; BENZOCAINE
ASOCIACIONES ANESTESICOS TOPICOS ESTERES; TOPICAL ANESTHESICS AND ESTERS ASSOCIATIONS
PROCAINA EN ASOCIACION; PROCAINE IN ASSOCIATION
TETRACAINA EN ASOCIACION; TETRACAINE IN ASSOCIATION
BUPIVACAINA; BUPIVACAINE
LIDOCAINA; Lidocaine
MEPIVACAINA; MEPIVACAINE
PRILOCAINA; PRILOCAINE
ARTICAINA; ARTICAINA
ROPIVACAINA; ROPIVACAINE
LEVOBUPIVACAINA; LEVOBUPIVACAINE
ASOCIACIONES ANESTESICOS TOPICOS AMIDAS; TOPICAL ANESTHESICS AND AMIDES ASSOCIATIONS
BUPIVACAINA EN ASOCIACION; BUPIVACAINE IN ASSOCIATION
LIDOCAINA EN ASOCIACION; LIDOCAINE IN ASSOCIATION
MEPIVACAINA EN ASOCIACION; MEPIVACAINE IN ASSOCIATION
PRILOCAINA EN ASOCIACION; PRILOCAINE IN ASSOCIATION
ARTICAINA EN ASOCIACION; ARTICAINA IN ASSOCIATION
AMIDAS (ANESTESICOS LOCALES) NE; AMIDES (LOCAL ANESTHETICS) NE
COCAINA; COCAINE
ETILO CLORURO;ETHYL CHLORIDE
CAPSAICINA; CAPSAICIN
MORFINA; MORPHINE
HIDROMORFONA; Hydromorphone
OXICODONA; Oxycodone
DIHIDROCODEINA; DIHYDROCODEINE
OXICODONA EN ASOCIACION; OXYCODONE IN ASSOCIATION
CODEINA EN ASOCIACION; CODEINE IN ASSOCIATION
CODEINA, COMBINACIONES CON PSICOLEPTICOS; CODEINE, COMBINATIONS WITH PSYCHOLEPTICS
PETIDINA; PETHIDINE
FENTANILO; FENTANYL
DERIVADOS FENILPIPERIDINA (ANALGESICOS OPIACEOS) NE; PHENYLPIPERIDINE DERIVATIVES (OPIACE ANALGESICS) NE
DEXTROPROPOXIFENO; Dextropropoxyphene
BEZITRAMIDA; BEZITRAMIDE
PENTAZOCINA; PENTAZOCINE
BUPRENORFINA; BUPRENORPHINE
BUTORFANOL; BUTORPHANOL
DERIVADOS DEL MORFINANO (ANALGESICOS OPIACEOS) NE; MORPHINE DERIVATIVES (OPIACE ANALGESICS) NE
DIHYDROCODEINE AND PARACETAMOL; DIHYDROCODEINE AND PARACETAMOL
DIHYDROCODEINE AND ACETYLSALICYLIC ACIDÃ¯Â¿Â½; DIHYDROCODEINE AND ACETYLSALICYLIC ACIDÃ¯Â¿Â½
DIHYDROCODEINE AND OTHER NON-OPIOID ANALGESICS; DIHYDROCODEINE AND OTHER NON-OPIOID ANALGESICS
CODEINA Y PARACETAMOL; CODEINE AND PARACETAMOL
CODEINA Y ACIDO ACETILSALICILICO; CODEINE AND ACETYLSALICYLIC ACID
CODEINA E IBUPROFENO; CODEINE AND IBUPROFEN
CODEINA Y OTROS ANALGESICOS NO OPIOIDES; CODEINE AND OTHER NON-OPIOID ANALGESICS
TRAMADOL Y PARACETAMOL; TRAMADOL AND PARACETAMOL
TRAMADOL Y DEXKETOPROFENO; TRAMADOL AND DEXKETOPROFEN
OXYCODONE AND PARACETAMOL; OXYCODONE AND PARACETAMOL
TILIDINA; TILIDINE
TRAMADOL; TRAMADOL
MEPTAZINOL; MEPTAZINOL
TAPENTADOL; TAPENTADOL
TRAMADOL EN ASOCIACION; TRAMADOL IN ASSOCIATION
ACETILSALICILICO ACIDO; ACETYLSALICYLIC ACID
ALOXIPRINA; ALOXIPRINE
SALICILAMIDA; SALICYLAMIDE
SALSALATO; SALSALATE
DIFLUNISAL; DIFLUNISAL
ACETILSALICILICO AC. ASOC. EXCL.PSICOLEPTICOS; ACETYLSALYLICYLIC AC. ASOC. EXCL.PSICOLEPTICS
FOSFOSAL; FOSFOSAL
ETERSALATO; ETERSALATE
ACIDO SALICILICO Y DERIVADOS NE;SALICYLIC ACID AND DERIVATIVES NE
METAMIZOL SODICO; METAMIZOL SODIUM
PROPIFENAZONA; PROPIFENAZONE
FENAZONA EN ASOC. EXCL. PSICOLEPTICOS; PHENAZONE IN ASSOCIATION EXCL. PSYCHOLEPTICS
PROPIFENAZONA EN ASOC. EXCLUIDO PSICOLEPTICOS; PROPIFENAZONE IN ASSOCIATION EXCLUDING PSYCHOLEPTICS
METAMIZOL MAGNESICO; MAGNESIUM METAMIZOL
PIRAZOLONAS (ANALGESICOS) NE; PYRAZOLONES (ANALGESICS) NE
PARACETAMOL; PARACETAMOL
PROPACETAMOL; PROPACETAMOL
PARACETAMOL EN ASOCIACION EXCL.PSICOLEPTICOS; PARACETAMOL IN ASSOCIATION EXCL. PSYCHOLEPTICS
ANILINAS (ANALGESICOS) NE; ANILINES (ANALGESICS) NE
FLOCTAFENINA; Floctafenine
FLUPIRTINA; FLUPIRTINE
ZICONOTIDA; ZICONOTIDE
METOXIFLUORANO; METHOXYFLUORAN
NABIXIMOLES; NABIXIMOLES
CLONIXINATO DE LISINA; LYSINE CLONIXINATE
TETRAHIDROCANNABINOL+CANNABIDIOL; TETRAHYDROCANNABINOL+CANNABIDIOL
OTROS ANALGESICOS Y ANTIPIRETICOS NE; OTHER ANALGESICS AND ANTIPYRETICS NE
DIHIDROERGOTAMINA; DIHYDROERGOTAMINE
ERGOTAMINA; ERGOTAMINE
METISERGIDA; METISERGIDA
DIHIDROERGOTAMINA EN ASOCIACION; DIHYDROERGOTAMINE IN ASSOCIATION
ERGOTAMINA EN ASOCIACION; ERGOTAMINE IN ASSOCIATION
SUMATRIPTAN; SUMATRIPTAN
NARATRIPTAN; NARATRIPTAN
ZOLMITRIPTAN; ZOLMITRIPTAN
RIZATRIPTAN; RIZATRIPTAN
ALMOTRIPTAN; ALMOTRIPTAN
ELETRIPTAN; ELETRIPTAN
FROVATRIPTAN; FROVATRIPTAN
AGONISTAS SELECTIVOS RECEPTORES DE LA 5HT (ANTIMIGRAÃ¯Â¿Â½OSOS) NE; 5HT RECEPTOR SELECTIVE AGONISTS (ANTIMIGRAINE) NE
ERENUMAB; ERENUMAB
GALCANEZUMABÃ¯Â¿Â½; GALCANEZUMABÃ¯Â¿Â½
FREMANEZUMAB; FREMANEZUMAB
PIZOTIFENO; PIZOTIFENO
DIMETOTIAZINA; Dimethothiazine
OXETORONA; OXETORONE
ERENUMAB; ERENUMAB
GALCANEZUMAB;GALCANEZUMAB
OTROS MEDICAMENTOS CONTRA LA MIGRAÃ¯Â¿Â½A NE; OTHER MEDICINES AGAINST MIGRAINE NE
METILFENOBARBITAL; METHYLPHENOBARBITAL
FENOBARBITAL; PHENOBARBITAL
PRIMIDONA; PRIMIDONE
FENITOINA; PHENYTOIN
FOSFENITOINA; FOSPHENYTOIN
FENITOINA EN ASOCIACION; PHENYTOIN IN ASSOCIATION
ETOSUXIMIDA; ETHOSUXIMIDE
CLONAZEPAM; CLONAZEPAM
CARBAMAZEPINA; CARBAMAZEPINE
OXCARBAZEPINA; OXCARBAZEPINE
RUFINAMIDA; RUFINAMIDE
ESLICARBAZEPINA; ESLICARBAZEPINE
VALPROICO ACIDO; VALPROIC ACID
VALPROMIDA; VALPROMIDE
AMINOBUTIRICO ACIDO; AMINOBUTYRIC ACID
VIGABATRINA; VIGABATRIN
TIAGABINA; Tiagabine
LAMOTRIGINA; LAMOTRIGINE
FELBAMATO; FELBAMATE
TOPIRAMATO; TOPIRAMATE
GABAPENTINA; GABAPENTIN
LEVETIRACETAM; LEVETIRACETAM
ZONISAMIDA; ZONISAMIDE
PREGABALINA; PREGABALIN
ESTIRIPENTOL; Stiripenthol
LACOSAMIDA; LACOSAMIDE
CARISBAMATO; CARISBAMATO
RETIGABINA; Retigabine
PERAMPANEL; PERAMPANEL
BRIVARACETAM; BRIVARACETAM
BECLAMIDA; BECLAMIDE
OTROS ANTIEPILEPTICOS NE; OTHER ANTIEPILEPTIC DRUGS NE
TRIHEXIFENIDILO; TRIHEXYPHENIDYL
BIPERIDENO; BIPERIDENE
METIXENO; METHYXENE
PROCICLIDINA; PROCYCLIDINE
BORNAPRINA; BORNAPRINA
LEVODOPA+INHIBIDOR DECARBOXILASA; LEVODOPA+DECARBOXYLASE INHIBITOR
LEVODOPA+INHIBIDOR CARBOXILASA+INHIBIDOR COMT; LEVODOPA+CARBOXYLASE INHIBITOR+COMT INHIBITOR
BROMOCRIPTINA; BROMOCRIPTINE
PERGOLIDA; PERGOLIDA
ROPINIROL; ROPINIROL
PRAMIPEXOL; PRAMIPEXOL
CABERGOLINA; CABERGOLINE
APOMORFINA; APOMORPHYN
PIRIBEDILO; PIRIBEDILO
ROTIGOTINA; Rotigotine
AGONISTAS DOPAMINERGICOS (ANTIPARKINSONIANOS) NE; DOPAMINERGIC AGONISTS (ANTIPARKINSONIAN) NE
SELEGILINA; SELEGILINE
RASAGILINA; RASAGILINA
SAFINAMIDA;SAFINAMIDE
INHIBIDORES DE LA MONOAMINOOXIDASA (ANTIPARKINSONIANOS) NE; MONOAMINE OXIDASE INHIBITORS (ANTIPARKINSONIANS) NE
TOLCAPONA; TOLCAPONA
ENTACAPONA; ENTACAPONE
BUDIPINA; BUDIPINA
OPICAPONA; OPICAPONA
OTROS AGENTES DOPAMINERGICOS NE; OTHER DOPAMINERGIC AGENTS NE
CLORPROMAZINA; CHLORPROMAZINE
LEVOMEPROMAZINA; Levomepromazine
ACEPROMAZINA; ACEPROMAZINE
FLUFENAZINA; Fluphenazine
PERFENAZINA; PERPHENAZINE
TRIFLUOPERAZINA; Trifluoperazine
TIOPROPERAZINA; THIOPROPERAZINE
PERICIAZINA; PERICIAZINE
TIORIDAZINA; THIORIDAZINE
PIPOTIAZINA; PIPOTIAZINE
TIORIDAZINA EN ASOCIACION; THIORIDAZINE IN ASSOCIATION
HALOPERIDOL; HALOPERIDOL
DROPERIDOL; DROPERIDOL
SERTINDOL; SERTINDOL
ZIPRASIDONA; ZIPRASIDONE
LURASIDONA; LURASIDONE
ZUCLOPENTIXOL; ZUCLOPENTIXOL
PIMOZIDA; PIMOZIDE
LOXAPINA; LOXAPINE
CLOZAPINA; CLOZAPINE
OLANZAPINA; OLANZAPINE
QUETIAPINA; Quetiapine
ASENAPINA; ASENAPINE
CLOTIAPINA; CLOTIAPINE
DIAZEPINAS, OXAZEPINAS Y TIAZEPINAS (ANTIPSICOTICOS) NE; DIAZEPINES, OXAZEPINES AND THIAZEPINES (ANTIPSYCHOTICS) NE
SULPIRIDA; SULPIRIDE
TIAPRIDA; TIAPRIDA
AMISULPRIDE; AMISULPRIDE
VERALIPRIDA; VERALIPRIDE
LEVOSULPIRIDA; LEVOSULPIRIDE
SULPIRIDA EN ASOCIACION; SULPIRIDE IN ASSOCIATION
LITIO CARBONATO; LITHIUM CARBONATE
RISPERIDONA; RISPERIDONE
CLOTIAPINA; CLOTIAPINE
ZOTEPINA; ZOTEPINE
ARIPIPRAZOL; ARIPIPRAZOL
PALIPERIDONA; Paliperidone
CARIPRAZINA; CARIPRAZINE
DIAZEPAM; DIAZEPAM
CLORDIAZEPOXIDO; Chlordiazepoxide
MEDAZEPAM; MEDAZEPAM
OXAZEPAM; OXAZEPAM
CLORAZEPATO DIPOTASICO; Dipotassium Chlorazepate
LORAZEPAM; LORAZEPAM
BROMAZEPAM; BROMAZEPAM
CLOBAZAM; CLOBAZAM
KETAZOLAM; KETAZOLAM
PRAZEPAM; PRAZEPAM
ALPRAZOLAM; ALPRAZOLAM
HALAZEPAM; HALAZEPAM
PINAZEPAM;PINAZEPAM
CAMAZEPAM; CAMAZEPAM
CLOTIAZEPAM; CLOTIAZEPAM
CLOXAZOLAM; CLOXAZOLAM
BENTAZEPAM; Bentazepam
DIAZEPAM EN ASOCIACION; DIAZEPAM IN ASSOCIATION
CLORDIAZEPOXIDO EN ASOCIACION; CHLORDIAZEPOXIDE IN ASSOCIATION
CLORAZEPATO DIPOTASICO EN ASOCIACION; Dipotassium Chlorazepate in Association
BENTAZEPAM; Bentazepam
OXAZOLAM; OXAZOLAM
HIDROXIZINA; HYDROXIZINE
MEPROBAMATO; Meprobamate
MEBUTAMATO; MEBUTAMATE
FEBARBAMATO; FEBARBAMATE
TETRABAMATO; TETRABAMATE
BUSPIRONA; BUSPIRONA
LAVANDULAE AETHEROLEUM; LAVANDULAE AETHEROLEUM
TRIMETOZINA; Trimethozin
PASSIFLORA+CRATAEGUS MONOGYNA+SALIX ALBA; PASSIFLORA+CRATAEGUS MONOGYNA+SALIX ALBA
PENTOBARBITAL; PENTOBARBITAL
AMOBARBITAL; AMOBARBITAL
BARBITAL; BARBITAL
SECOBARBITAL; SECOBARBITAL
CICLOBARBITAL; CYCLOBARBITAL
BARBITURICOS SOLOS (HIPNOTICOS Y SEDANTES) NE; BARBITURATES ALONE (HYPNOTICS AND SEDATIVES) NE
ASOCIACIONES DE BARBITURICOS; BARBITURATE ASSOCIATIONS
BARBITURICOS ASOC. A OTRAS SUSTANCIAS; BARBITURATES ASSOCIATED WITH OTHER SUBSTANCES
HIDRATO DE CLORAL; Chloral hydrate
FLURAZEPAM; FLURAZEPAM
NITRAZEPAM; Nitrazepam
FLUNITRAZEPAM; FLUNITRAZEPAM
TRIAZOLAM; TRIAZOLAM
LORMETAZEPAM; LORMETAZEPAM
TEMAZEPAM; TEMAZEPAM
MIDAZOLAM; MIDAZOLAM
BROTIZOLAM; BROTIZOLAM
QUAZEPAM; QUAZEPAM
LOPRAZOLAM; LOPRAZOLAM
PIRITILDIONA; PYRITHYLDIONE
PIRITILDIONA EN ASOCIACION; PYRITHYLDIONE IN ASSOCIATION
ZOPICLONA; ZOPICLONE
ZOLPIDEM; ZOLPIDEM
ZALEPLON; ZALEPLON
MELATONINA; MELATONIN
RAMELTEON; RAMELTEON
METACUALONA; METAQUALONE
CLOMETIAZOL; CLOMETHIAZOLE
VALERIANA RADIX; Valerian Radix
HEXAPROPIMATO;HEXAPROPIMATE
BROMURO; BROMIDE
DEXMEDETOMIDINA; Dexmedetomidine
VALTRATO; VALTRATE
GLUTAMATO MAGNESICO BROMHIDRATO; MAGNESIUM GLUTAMATE HYDROBROMIDE
MEPIPRAZOL; MEPIPRAZOL
OTROS HIPNOTICOS Y SEDANTES NE; OTHER HYPNOTICS AND SEDATIVES NE
HIPNOTICOS Y SEDANTES NE NE; HYPNOTICS AND SEDATIVES NE NE
MEPROBAMATO EN ASOCIACION; MEPROBAMATE IN ASSOCIATION
BROMURO ASOCIADO A DOXILAMINA; DOXYLAMINE ASSOCIATED BROMIDE
GLUTAMATO MAGNESICO ASOCIADO A PROMETAZINA; MAGNESIUM GLUTAMATE ASSOCIATED WITH PROMETAZINE
VALERIANA EXTO + PASSIFLORA EXTO; VALERIAN EXTO + PASSIFLORA EXTO
HIPNOTICOS Y SEDANTES E ASOCIACION, EXCLUIDOS BARBITURICOS NE; HYPNOTICS AND SEDATIVES AND ASSOCIATION, EXCLUDING BARBITURATES NE
IMIPRAMINA; IMIPRAMINE
IMIPRAMINOXIDO; Imipraminoxide
CLOMIPRAMINA; CLOMIPRAMINE
TRIMIPRAMINA; TRIMIPRAMINE
LOFEPRAMINA; LOFEPRAMINE
AMITRIPTILINA; AMITRIPTYLINE
NORTRIPTILINA; NORTRIPTYLINE
DOXEPINA; DOXEPIN
MELITRACENO; MELITRACENE
DOSULEPINA; DOSULEPINE
AMOXAPINA; AMOXAPINE
AMINEPTINA; AMINEPTINE
MAPROTILINA; MAPROTILINE
QUINUPRAMINA; QUINUPRAMINE
IMIPRAMINA EN ASOCIACION; IMIPRAMINE IN ASSOCIATION
FLUOXETINA; FLUOXETINE
CITALOPRAM; CITALOPRAM
PAROXETINA; PAROXETINE
SERTRALINA; SERTRALINE
FLUVOXAMINA; FLUVOXAMINE
ETOPERIDONA; ETOPERIDONE
ESCITALOPRAM; ESCITALOPRAM
INHIB. SELECTIVOS RECAPTACION SEROTONINA (ANTIDEPRESIVOS) NE; SELECTIVE SEROTONIN RECUPTATION INHIBITORS (ANTIDEPRESSANTS) NE
NIALAMIDA; NIALAMIDE
FENELZINA; Phenelzine
TRANILCIPROMINA; TRANILCIPROMINE
IPRONIAZIDA; Iproniazid
MOCLOBEMIDA; Moclobemide
OXITRIPTAN; OXITRIPTAN
MIANSERINA; MIANSERIN
NOMIFENSINA; NOMIFENSINE
TRAZODONA; TRAZODONE
NEFAZODONA; NEFAZODONE
MINAPRINA; MINAPRINA
VILOXAZINA;VILOXAZINE
OXAFLOZANO; OXAFLAZAN
MIRTAZAPINA; MIRTAZAPINE
BUPROPION; BUPROPION
TIANEPTINA; TIANEPTINE
VENLAFAXINA; VENLAFAXINE
MILNACIPRAN; MILNACIPRAN
REBOXETINA; REBOXETINE
DULOXETINA; DULOXETINE
AGOMELATINA; AGOMELATIN
DESVENLAFAXINA; DESVENLAFAXINE
VORTIOXETINA; VORTIOXETINE
PIRLINDOL; PIRLINDOL
OTROS ANTIDEPRESIVOS NE; OTHER ANTIDEPRESSANTS NE
ANFETAMINA; AMPHETAMINE
DEXANFETAMINA; Dexamphetamine
METILFENIDATO; METHYLPHENIDATE
PEMOLINA; PEMOLINA
FENCAMFAMINA; FENCAMFAMIN
MODAFINIL; MODAFINIL
ATOMOXETINA; Atomoxetine
FENETILINA; FENETYLLINE
DEXMETILFENIDATO; Dexmethylphenidate
LISANFETAMINA; LYSAMPHETAMINE
PEMOLINA EN ASOCIACION; PEMOLINA IN ASSOCIATION
SIMPATICOMIMETICOS ACCION CENTRAL (PSICOESTIMULANTES) NE; SYMPATICOMIMETICS CENTRAL ACTION (PSYCHOSTIMULANTS) NE
CAFEINA; CAFFEINE
PROPENTOFILINA; PROPENTOPHYLLINE
MECLOFENOXATO; Meclofenoxate
PIRITINOL; PYRITINOL
PIRACETAM; PIRACETAM
DEANOL; Deanol
FIPEXIDA; FIPEXIDE
CITICOLINA; CITICOLINE
OXIRACETAM; OXIRACETAM
PIRISUDANOL; PIRISUDANOL
LINOPIRDINA; Linopyrdine
NIZOFENONA; Nizophenone
ANIRACETAM; ANIRACETAM
ACETILCARNITINA; ACETYLCARNITINE
IDEBENONA; IDEBENONE
PROLINTANO; PROLINTANE
PIPRADOL; PIPRADOL
PRAMIRACETAM; PRAMIRACETAM
ADRAFINIL; ADRAFINIL
VINPOCETINA; Vinpocetine
PIRITINOL EN ASOCIACION; PYRITINOL IN ASSOCIATION
PIRACETAM ASOC. A OTRAS SUSTANCIAS; PIRACETAM ASSOCIATED WITH OTHER SUBSTANCES
DEANOL EN ASOCIACION; DEANOL IN ASSOCIATION
PROLINTANO EN ASOCIACION; PROLINTANO IN ASSOCIATION
PIRACETAM ASOC. A OTROS PSICOANALEPTICOS;PIRACETAM ASSOCIATED WITH OTHER PSYCHOANALEPTICS
FOSFOLIPIDOS CEREBRO; BRAIN PHOSPHOLIPIDS
FOSFOLIPIDOS EN ASOCIACION; PHOSPHOLIPIDS IN ASSOCIATION
GABOB (GAMMA AMINOBUTIRICO ACIDO); GABOB (GAMMA AMINOBUTYRIC ACID)
GABOB EN ASOCIACION; GABOB IN ASSOCIATION
OTROS PSICOESTIMULANTES Y NOOTROPICOS NE; OTHER PSYCHOSTIMULANTS AND NOOTROPICS NE
AMITRIPTILINA ASOCIADA A PSICOLEPTICOS; AMITRIPTYLINE ASSOCIATED WITH PSYCHOLEPTICS
MELITRACENO ASOCIADO A PSICOLEPTICOS; MELITRACENE ASSOCIATED WITH PSYCHOLEPTICS
NORTRIPTILINA + PERFENAZINA; Nortriptyline + Perphenazine
ANTIDEPRESIVOS ASOCIADOS CON PSICOLEPTICOS NE; ANTIDEPRESSANTS ASSOCIATED WITH PSYCHOLEPTICS NE
OTRAS ASOC. ANTIDEPRESIVOS Y PSICOLEPTICOS; OTHER ASSOCIATED ANTIDEPRESSANTS AND PSYCHOLEPTICS
TACRINA; TACRINE
DONEPEZILO; DONEPEZIL
RIVASTIGMINA; RIVASTIGMINE
GALANTAMINA; GALANTAMINE
ANTICOLINESTERASAS (MEDICAMENTOS CONTRA DEMENCIA) NE; ANTICHOLINESTERASES (DEMENTIA MEDICINES) NE
MEMANTINA; Memantine
GINKGO BILOBA EXTO; GINKGO BILOBA EXTRACT
OTROS MEDICAMENTOS CONTRA LA DEMENCIA NE; OTHER MEDICINES AGAINST DEMENTIA NE
NEOSTIGMINA; NEOSTIGMINE
PIRIDOSTIGMINA; PYRIDOSTIGMINE
DISTIGMINA; DISTIGMINA
AMBENONIUM; AMBENONIUM
NEOSTIGMINA EN ASOCIACION; NEOSTIGMINE IN ASSOCIATION
EDROFONIO BROMURO; EDROPHONIUM BROMIDE
EDROFONIO CLORURO; EDROPHONIUM CHLORIDE
BETANECOL; BETANECOL
PILOCARPINA; PILOCARPINE
CEVIMELINA; CEVIMELINE
NICOTINA; NICOTINE
VARENICLINA; VARENICLINE
CISTINA; CYSTINE
MEDICAMENTOS UTILIZADOS EN DEPENDENCIA A NICOTINA NE; MEDICINES USED IN NICOTINE DEPENDENCE NE
DISULFIRAM; DISULFIRAM
CARBIMIDA; CARBIMIDE
ACAMPROSATO; ACAMPROSATE
NALTREXONA; NALTREXONE
NALMEFENO; NALMEFENE
MEDICAMENTOS UTILIZADOS EN DEPENDENCIA A ALCOHOL NE;MEDICINES USED IN ALCOHOL DEPENDENCE NE
BUPRENORFINA; BUPRENORPHINE
METADONA; METHADONE
LEVACETILMETADOL; LEVACETHYLMETHADOL
LOFEXIDINA; LOFEXIDINE
LEVOMETADONA; LEVOMETHADONE
BUPRENORFINA EN ASOCIACION; BUPRENORPHINE IN ASSOCIATION
MEDICAMENTOS UTILIZADOS EN TRASTORNOS ADICTIVOS NE NE; MEDICINES USED IN ADDICTIVE DISORDERS NE NE
BETAHISTINA; BETAHISTINE
CINARIZINA; CINNARISINE
FLUNARIZINA; FLUNARIZINE
CINARIZINA EN ASOCIACION; CINNARISINE IN ASSOCIATION
RILUZOL; RILUZOL
OXIBUTATO SODICO (AC.HIDROXIBUTIRICO); SODIUM OXYBUTATE (HYDROXYBUTYRIC AC)
AMIFAMPRIDINA; AMIFAMPRIDINE
TETRABENAZINA; TETRABENAZINE
FAMPRIDINA; FAMPRIDINE
TAFAMIDIS; TAFAMIDIS
DIMETIL FUMARATO; DIMETHYL FUMARATE
PITOLISANT; PITOLISANT
PATISIRAN; PATISIRAN
INOTERSEN; INOTERSEN
MAGNESIO SULFATO; MAGNESIUM SULFATE
3,4-DIAMINOPIRIDINA; 3,4-DIAMINOPYRIDINE
METRONIDAZOL; METRONIDAZOLE
TINIDAZOL; TINIDAZOLE
ORNIDAZOL; ORNIDAZOLE
MEPACRINA; Mepacrine
ATOVACUONA; ATOVAQUONE
TRIMETREXATE; TRIMETREXATE
DIHIDROEMETINA; DIHYDROEMETINE
FUMAGILINA; FUMAGILINA
NITAZOXANIDA; NITAZOXANIDE
CLOROQUINA; CHLOROQUINE
HIDROXICLOROQUINA; HYDROXYCHLOROQUINE
PRIMAQUINA; PRIMAQUINA
MEFLOQUINA; MEFLOQUINE
AMODIAQUINA; AMODIAQUINE
PROGUANIL; PROGUANIL
PROGUANIL EN ASOCIACION; PROGUANIL IN ASSOCIATION
QUININA; QUININE
QUININA EN ASOCIACION; QUININE IN ASSOCIATION
PIRIMETAMINA; PYRIMETHAMINE
PIRIMETAMINA EN ASOCIACION; PYRIMETHAMINE IN ASSOCIATION
ARTEMISININA; ARTEMISININ
ARTEMETER; ARTEMETER
ARTESUNATO; ARTESUNATE
ARTEMOTIL; ARTEMOTIL
ARTENIMOL; ARTENIMOL
ARTEMETER EN ASOCIACION; ARTEMETER IN ASSOCIATION
ARTEMETER + LUMEFANTRINA; Artemether + Lumefantrine
ARTESUNATO + MEFLOQUINA; Artesunate + Mefloquine
ARTESUNATO + AMODIAQUINA; Artesunate + Amodiaquine
ARTESUNATO + SULFAMETOPIRAZINA + PIRIMETAMINA;ARTESUNATE + SULFAMETOPYRAZINE + PYRIMETHAMINE
